generation,method,max_deg,size_construction,size_search,alpha,build_time,memory,search_time,recall
0,multi-cutcat-tour,117,882,522,1.2421875,1.114445231,0.0,0.002695698,0.9999999999999999
0,multi-cutcat-tour,831,221,777,1.7919921875,0.799844253,0.0,0.004068224,0.9999999999999999
0,multi-cutcat-tour,797,638,879,1.7373046875,2.861793176,0.004964352,0.005291236,0.9999999999999999
0,multi-cutcat-tour,475,976,151,1.376953125,1.290311167,0.0,0.002893671,0.9999999999999999
0,multi-cutcat-tour,55,262,757,1.6025390625,0.796724555,0.0,0.002742607,0.9999999999999999
0,multi-cutcat-tour,451,211,768,1.9775390625,1.090879855,0.0,0.005267991,0.9999999999999999
0,multi-cutcat-tour,566,532,523,1.5078125,1.32444907,0.0,0.00315729,0.9999999999999999
0,multi-cutcat-tour,635,931,874,1.7275390625,2.638472682,0.0,0.004449284,0.9999999999999999
0,multi-cutcat-tour,310,655,283,1.75390625,4.757234549,0.0,0.002774857,0.9999999999999999
0,multi-cutcat-tour,455,468,424,1.3212890625,0.76061611,0.0,0.002518452,0.9999999999999999
1,multi-cutcat-tour,407,882,520,1.0712890625,0.723148575,0.0,0.002095673,0.9999999999999999
1,multi-cutcat-tour,503,466,426,1.2119140625,0.672600997,0.0,0.002477405,0.9999999999999999
1,multi-cutcat-tour,475,976,151,1.376953125,1.290311167,0.0,0.002893671,0.9999999999999999
2,multi-cutcat-tour,983,466,150,1.126953125,0.501295292,0.0,0.002232902,0.9996
2,multi-cutcat-tour,151,466,484,1.2119140625,0.672837186,0.0,0.00242173,0.9999999999999999
2,multi-cutcat-tour,475,976,151,1.376953125,1.290311167,0.0,0.002893671,0.9999999999999999
2,multi-cutcat-tour,407,882,520,1.0712890625,0.723148575,0.0,0.002095673,0.9999999999999999
2,multi-cutcat-tour,407,978,520,1.0859375,0.742301562,0.0,0.002063151,0.9999999999999999
3,multi-cutcat-tour,151,370,484,1.1962890625,0.438780457,0.0,0.002184692,0.9999999999999999
3,multi-cutcat-tour,979,464,150,1.126953125,0.511040479,0.0,0.003599357,0.9999000000000001
3,multi-cutcat-tour,983,878,152,1.197265625,0.805687277,0.0,0.002117965,0.9999000000000001
3,multi-cutcat-tour,151,466,148,1.2685546875,0.709643831,0.0,0.002941633,0.9999999999999999
4,multi-cutcat-tour,979,464,150,1.126953125,0.511040479,0.0,0.003599357,0.9999000000000001
4,multi-cutcat-tour,471,974,148,1.1513671875,0.822797924,0.0,0.002567345,0.9999000000000001
4,multi-cutcat-tour,983,466,150,1.126953125,0.501295292,0.0,0.002232902,0.9996
4,multi-cutcat-tour,215,367,132,1.1982421875,0.45161634,0.0,0.00114788,0.9993000000000001
4,multi-cutcat-tour,151,466,148,1.2685546875,0.709643831,0.0,0.002941633,0.9999999999999999
4,multi-cutcat-tour,215,178,485,1.1982421875,0.263799708,0.0,0.001954245,0.9999999999999999
